ID,school,creche,gender,date,asidlale,echs,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,read_book,score14
1,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,2,2,3,2,3,2,3,1,3,3,3,3,2,3,,,,,,35
2,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,1,1,3,3,3,3,2,3,3,1,3,1,3,1,,,,,,31
3,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,3,3,3,3,3,3,2,3,3,3,2,3,3,3,,,,,,40
4,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,2,2,3,2,3,2,1,3,3,1,3,3,3,2,,,,,,33
5,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,2,3,3,1,3,1,2,1,1,3,3,1,2,3,,,,,,29
6,Mabane,Sbukosezwe,F,31/1/13,1,NA,2013,2,3,3,3,3,2,2,3,3,2,2,3,3,3,,,,,,37
7,Mabane,Siyazama,F,31/1/13,1,NA,2013,2,1,1,2,1,1,2,1,3,2,2,3,3,3,,,,,,27
8,Mabane,Siyazama,F,31/1/13,1,NA,2013,3,3,3,3,2,3,2,3,3,1,3,3,3,3,,,,,,38
9,Mabane,Unakekelo,M,31/1/13,1,NA,2013,2,3,3,2,3,1,2,3,3,2,2,3,3,3,,,,,,35
10,Mabane,Siyazama,M,31/1/13,1,NA,2013,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,41
11,Mabane,Sbukosezwe,M,31/1/13,1,NA,2013,2,3,3,2,3,3,3,3,3,1,3,3,2,3,,,,,,37
12,Mabane,Sbukosezwe,M,31/1/13,1,NA,2013,2,3,3,3,3,3,3,2,3,1,3,3,2,3,,,,,,37
13,Mabane,Sbukosezwe,M,31/1/13,1,NA,2013,3,3,2,2,3,2,3,3,3,1,3,3,2,3,,,,,,36
14,Mabane,Sbukosezwe,M,31/1/13,1,NA,2013,1,3,2,2,3,2,3,3,3,1,3,3,2,3,,,,,,34
15,Mabane,Sbukosezwe,M,31/1/13,1,NA,2013,3,3,2,3,3,3,3,1,3,2,3,1,2,3,,,,,,35
16,Nobanda,Kwanomusa,F,2/6/13,1,NA,2013,3,3,3,2,3,2,3,2,3,1,2,3,3,3,,,,,,36
17,Nobanda,Kwanomusa,F,2/6/13,1,NA,2013,3,3,3,3,3,3,1,2,3,1,1,3,2,3,,,,,,34
18,Nobanda,Raphs,F,2/6/13,1,NA,2013,2,3,3,2,3,3,3,3,3,3,3,3,3,3,,,,,,40
19,Nobanda,Raphs,F,2/6/13,1,NA,2013,3,3,3,3,3,3,3,2,3,1,3,3,2,3,,,,,,38
20,Nobanda,Kwanomusa,F,2/6/13,1,NA,2013,2,3,3,2,3,2,3,2,3,1,1,2,2,3,,,,,,32
21,Nobanda,Raphs,F,2/6/13,1,NA,2013,3,3,3,3,3,3,3,2,3,3,3,3,3,3,,,,,,41
22,Nobanda,Kwanomusa,F,2/6/13,1,NA,2013,2,3,3,3,2,3,2,3,3,1,1,3,3,2,,,,,,34
23,Nobanda,Raphs,M,2/6/13,1,NA,2013,3,3,2,2,2,2,3,1,3,2,3,3,3,3,,,,,,35
24,Nobanda,Raphs,M,2/6/13,1,NA,2013,3,3,3,2,3,2,3,2,3,3,3,3,2,3,,,,,,38
25,Nobanda,Kwanomusa,M,2/6/13,1,NA,2013,2,3,3,1,2,3,3,2,3,1,2,3,2,2,,,,,,32
26,Nobanda,Kwanomusa,M,2/6/13,1,NA,2013,2,2,2,3,1,2,1,1,1,1,2,1,3,1,,,,,,23
27,Nobanda,Kwanomusa,M,2/6/13,1,NA,2013,1,2,2,2,3,3,3,2,3,1,3,2,3,3,,,,,,33
28,Nobanda,Raphs,F,2/6/13,1,NA,2013,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,42
29,Nobanda,Kwanomusa,M,2/6/13,1,NA,2013,2,3,2,3,3,3,3,1,2,1,2,2,2,2,,,,,,31
30,Nobanda,Kwanomusa,M,2/6/13,1,NA,2013,2,3,2,1,3,2,2,2,2,2,2,1,2,3,,,,,,29
31,Nobanda,Kwanomusa,F,2/6/13,1,NA,2013,2,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,,39
32,Mabane,none,F,31/1/13,0,NA,2013,2,3,2,1,3,1,3,3,3,1,1,3,1,3,,,,,,30
33,Mabane,Athandweni,F,31/1/13,0,NA,2013,2,2,2,3,3,3,1,1,3,2,3,2,2,3,,,,,,32
34,Mabane,uThando,F,31/1/13,0,NA,2013,2,3,3,3,3,3,3,1,1,1,1,3,2,2,,,,,,31
35,Mabane,Hem-hem Creche,F,31/1/13,0,NA,2013,3,3,3,3,3,3,1,3,3,2,3,3,2,3,,,,,,38
36,Mabane,none,F,31/1/13,0,NA,2013,2,3,3,3,3,3,3,1,3,3,2,3,3,3,,,,,,38
37,Mabane,none,F,31/1/13,0,NA,2013,3,3,3,2,1,2,2,3,1,1,1,1,2,1,,,,,,26
38,Mabane,none,F,31/1/13,0,NA,2013,3,3,3,3,3,3,1,1,1,1,3,1,1,3,,,,,,30
39,Mabane,none,F,31/1/13,0,NA,2013,3,3,3,3,3,3,3,3,2,1,3,3,2,3,,,,,,38
40,Mabane,none,M,31/1/13,0,NA,2013,1,3,1,1,1,1,2,1,3,1,1,1,1,1,,,,,,19
41,Mabane,none,M,31/1/13,0,NA,2013,2,3,1,2,3,2,2,2,3,1,2,3,2,3,,,,,,31
42,Mabane,none,M,31/1/13,0,NA,2013,2,3,2,2,2,3,2,1,3,2,1,3,3,3,,,,,,32
43,Mabane,none,M,31/1/13,0,NA,2013,2,3,2,2,2,3,2,1,3,2,1,3,3,3,,,,,,32
44,Mabane,none,M,31/1/13,0,NA,2013,2,3,2,3,3,3,2,1,3,1,1,1,3,3,,,,,,31
45,Mabane,none,M,31/1/13,0,NA,2013,1,1,1,2,1,2,3,1,2,1,3,1,1,1,,,,,,21
46,Mabane,none,M,31/1/13,0,NA,2013,1,1,1,1,1,1,2,1,2,1,1,1,2,3,,,,,,19
47,Nobanda,uThando,M,2/6/13,0,NA,2013,2,3,2,1,3,3,3,1,3,2,3,3,2,3,,,,,,34
48,Nobanda,uThando,F,2/6/13,0,NA,2013,3,3,2,3,3,3,2,2,3,2,3,3,3,3,,,,,,38
49,Nobanda,none,F,2/6/13,0,NA,2013,3,3,2,3,3,3,1,2,3,1,2,1,3,3,,,,,,33
50,Nobanda,uThando,F,2/6/13,0,NA,2013,2,3,2,3,3,3,2,1,3,1,1,1,3,1,,,,,,29
51,Nobanda,Dutch,F,2/6/13,0,NA,2013,1,3,1,3,3,3,1,1,3,1,2,3,2,3,,,,,,30
